Season,Year,Name,Age,Hometown,Occupation,Eliminated
12,2008,Shayne Lamas,22,"Malibu, CA",Actress,Winner
12,2008,Chelsea Wanstrath,25,"Durango, CO",Pharmaceutical sales rep.,Week 8
12,2008,Amanda Rantuccio,27,"Niceville, FL",Account Executive,Week 7
12,2008,Noelle Drake,26,"Loveland, CO",Photographer,Week 6
12,2008,Marshana Ritchie,27,"Brooklyn, NY",Fashion designer,Week 5
12,2008,Robin Canfield,22,"Holland, MI",Advertising coordinator,Week 5
12,2008,Ashlee Williss,22,"Jacksonville Beach, FL",Singer-songwriter,Week 4
12,2008,Kelly,25,"Hollywood, CA",Medical sales rep.,Week 4
12,2008,Holly Durst,24,"Suffield, OH",Children's book author,Week 4
12,2008,Erin S.,33,"Venice, CA",Hot-dog vendor,Week 3
12,2008,Amy,22,"Stockton, CA",Nanny,Week 3
12,2008,Kristine Heffelfinger,33,"Dillsburg, PA",Personal trainer,Week 3
12,2008,Michelle,28,"Syracuse, NY",Administrative assistant,Week 2
12,2008,Carri Perrier,25,"Oklahoma City, OK",Church marketing rep.,Week 2
12,2008,Erin Harper,25,"Seattle, WA",Event planner,Week 2
12,2008,Alyssa,24,"Boise, ID",Biology student,Week 1
12,2008,Amanda Petterman,26,"LaFollette, TN",Law student,Week 1
12,2008,Denise,30,"Washington, D.C",Attorney and former White House aide,Week 1
12,2008,Devon,24,"Austin, TX",Makeup artist,Week 1
12,2008,Lesley Geyer,23,"Tampa, FL",Youth minister,Week 1
12,2008,Michele,33,"Laguna Niguel, CA",Interior designer,Week 1
12,2008,Rebecca,30,"Alamo, CA",Attorney,Week 1
12,2008,Stacey Elza,26,"Chicago, IL",Graduate student,Week 1
12,2008,Tamara,23,"Beverly Hills, CA",Cocktail waitress,Week 1
12,2008,Tiffany,33,"San Francisco, CA",Real estate marketing rep.,Week 1
13,2009,Melissa Rycroft,25,"Dallas, Texas",Sales Representative,Winner
13,2009,Molly Malaney,23,"Grand Rapids, Michigan",Department Store Buyer,Runner-up
13,2009,Jillian Harris,29,"Peace River, Alberta",Interior Designer,Eliminated in episode 7
